occ,n
jarnv.arb,17
boktryckare,17
fil kand,17
oljearb,17
fil mag,17
forsaljn.ch,17
s jukskot,17
landthandl.,17
barberaren,17
torpag.,17
f.kontorist,17
hastskotare,17
snick.mast.,17
byggn.sn.,17
lag.bitr.,17
vedgardsarbetare,17
magasinsarbetare,17
gum.arb..,17
hantlangare,17
stufveriarb.,17
kakelugnsmak.,17
f kondukt,17
rӧrlӓgg,17
kont.vakt,17
lӓr,17
skraddaremastare,17
chark.bitr.,17
prof,17
but.bitr,17
brevbar,17
instrumentmakare,17
skeppstimmerman,17
h:son,17
fd handlande,17
synare,17
grosshandlanden,17
masterlots,17
veterinar,17
ingenjӧr,17
martinarb.,17
larov.adj.,17
tegelarb,17
bageriidkare,17
forsakringstjansteman,17
f maskinist,17
f kommunalarb,17
andersson,17
sjokapt.,17
mjoln,17
modellsnick.,17
med kand,17
nattv,17
provisor,17
tygarb,17
hokerihandl.,17
fanjunkaren,17
musiksergeant,17
f hand.idk,17
lokbitr,17
hag.son,17
mȧl.arb,17
jbr arb,17
polerare,17
tillskarerska,17
platarb.,17
stationsform.,17
kaffekokerska,17
kontr:ant,17
rormontor,17
brukare,17
hem.d.,16
werkmastaren,16
ab.,16
telef.arb,16
vavlagare,16
husjungfru,16
kontorsbitrӓde,16
pensionatsinneh,16
rorlaggaren,16
korgmakare,16
konditoriarbetare,16
kusk.,16
tradg.bitr,16
jbr.bitr,16
verkst.form,16
d:o,16
fakt,16
slakt.arb.,16
kass:a,16
kartongarb.,16
utarbetare,16
f stnskarl,16
h ag,16
mejerskan,16
civ.ing.,16
kont.chef,16
radiotekn,16
sjukh.bitr,16
trӓdg.mӓst,16
anlaggn.arb,16
f.d. hemmansagare,16
bag.larl,16
kronojag.,16
fabr. arb,16
linjearbetare,16
fil.stud,16
jvksarb,16
radiomont,16
kranfor,16
skollarar.,16
gastgifv.,16
kappsommerska,16
glasbr.arb,16
laboratoriebitrade,16
hdtr.,16
verkstadsarb,16
hemmadottern,16
form.,16
hem.d:r,16
hotellvaktm,16
handlandeankan,16
stk.,16
lansman,16
jb.arb,16
tvattbitr.,16
trafikbilag,16
frisorbitr,16
ladugardsforman,16
…,16
__,16
fӧrman,16
motorm,16
polismannen,16
vagarb.,16
musikdir,16
fӧrsӓlj,16
grossh.,16
hans h:ru fabr.arb.,16
paketererska,16
f lar,16
slakteriarbetare,16
kaféidkare,16
skradd.mast.,16
reparatoren,16
smaskollararinnan,16
folkskolelararinnan,16
konditorn,16
forradsforvaltare,16
pianist,16
byggnadsarb.,16
